unicode_character__c,unicode_index__c,order__c
Ȉ,520.0,309.0
Ȋ,522.0,310.0
Ȍ,524.0,311.0
Ȏ,526.0,312.0
Ȑ,528.0,313.0
Ȓ,530.0,314.0
Ȕ,532.0,315.0
Ȗ,534.0,316.0
Ș,536.0,317.0
Ț,538.0,318.0
Ȝ,540.0,319.0
Ȟ,542.0,320.0
ȡ,545.0,321.0
Ȣ,546.0,322.0
Ȥ,548.0,323.0
Ȧ,550.0,324.0
Ȩ,552.0,325.0
Ȫ,554.0,326.0
Ȭ,556.0,327.0
Ȯ,558.0,328.0
Ȱ,560.0,329.0
Ȳ,562.0,330.0
ȴ,564.0,331.0
ȵ,565.0,332.0
ȶ,566.0,333.0
ȷ,567.0,334.0
ȸ,568.0,335.0
ȹ,569.0,336.0
Ȼ,571.0,337.0
Ɂ,577.0,338.0
Ʉ,580.0,339.0
Ʌ,581.0,340.0
Ɇ,582.0,341.0
Ɉ,584.0,342.0
Ɋ,586.0,343.0
Ɍ,588.0,344.0
Ɏ,590.0,345.0
ɕ,597.0,346.0
ɘ,600.0,347.0
ɚ,602.0,348.0
ɜ,604.0,349.0
ɝ,605.0,350.0
ɞ,606.0,351.0
ɟ,607.0,352.0
ɡ,609.0,353.0
ɢ,610.0,354.0
ɤ,612.0,355.0
ɥ,613.0,356.0
ɦ,614.0,357.0
ɧ,615.0,358.0
ɪ,618.0,359.0
ɬ,620.0,360.0
ɭ,621.0,361.0
ɮ,622.0,362.0
ɰ,624.0,363.0
ɳ,627.0,364.0
ɴ,628.0,365.0
ɶ,630.0,366.0
ɷ,631.0,367.0
ɸ,632.0,368.0
ɹ,633.0,369.0
ɺ,634.0,370.0
ɻ,635.0,371.0
ɼ,636.0,372.0
ɾ,638.0,373.0
ɿ,639.0,374.0
ʁ,641.0,375.0
ʂ,642.0,376.0
ʄ,644.0,377.0
ʅ,645.0,378.0
ʆ,646.0,379.0
ʇ,647.0,380.0
ʍ,653.0,381.0
ʎ,654.0,382.0
ʏ,655.0,383.0
ʐ,656.0,384.0
ʑ,657.0,385.0
ʓ,659.0,386.0
ʔ,660.0,387.0
ʕ,661.0,388.0
ʖ,662.0,389.0
ʗ,663.0,390.0
ʘ,664.0,391.0
ʙ,665.0,392.0
ʚ,666.0,393.0
ʛ,667.0,394.0
ʜ,668.0,395.0
ʝ,669.0,396.0
ʞ,670.0,397.0
ʟ,671.0,398.0
ʠ,672.0,399.0
ʡ,673.0,400.0
ʢ,674.0,401.0
ʣ,675.0,402.0
ʤ,676.0,403.0
ʥ,677.0,404.0
ʦ,678.0,405.0
ʧ,679.0,406.0
ʨ,680.0,407.0
ʩ,681.0,408.0
ʪ,682.0,409.0
ʫ,683.0,410.0
ʬ,684.0,411.0
ʭ,685.0,412.0
ʮ,686.0,413.0
ʯ,687.0,414.0
ʹ,697.0,415.0
ʺ,698.0,416.0
˂,706.0,424.0
˃,707.0,425.0
˄,708.0,426.0
˅,709.0,427.0
ˆ,710.0,428.0
ˇ,711.0,429.0
ˈ,712.0,430.0
ˉ,713.0,431.0
ˌ,716.0,434.0
ˍ,717.0,435.0
ː,720.0,438.0
ˑ,721.0,439.0
˒,722.0,440.0
˓,723.0,441.0
˔,724.0,442.0
˕,725.0,443.0
˖,726.0,444.0
˗,727.0,445.0
˘,728.0,446.0
˙,729.0,447.0
˚,730.0,448.0
˛,731.0,449.0
˜,732.0,450.0
˞,734.0,452.0
˟,735.0,453.0
˥,741.0,454.0
˦,742.0,455.0
˧,743.0,456.0
˨,744.0,457.0
˩,745.0,458.0
˪,746.0,459.0
˫,747.0,460.0
ˬ,748.0,461.0
˭,749.0,462.0
ˮ,750.0,463.0
˯,751.0,464.0
˰,752.0,465.0
˱,753.0,466.0
˲,754.0,467.0
˳,755.0,468.0
˴,756.0,469.0
˷,759.0,472.0
˸,760.0,473.0
˹,761.0,474.0
˺,762.0,475.0
˻,763.0,476.0
˼,764.0,477.0
˽,765.0,478.0
˾,766.0,479.0
˿,767.0,480.0
Ͱ,880.0,590.0
Ͳ,882.0,591.0
͵,885.0,592.0
Ͷ,886.0,593.0
͸,888.0,594.0
͹,889.0,595.0
ͺ,890.0,596.0
ͻ,891.0,597.0
ͼ,892.0,598.0
ͽ,893.0,599.0
Ϳ,895.0,600.0
΀,896.0,601.0
΁,897.0,602.0
΂,898.0,603.0
΃,899.0,604.0
΅,901.0,605.0
Ά,902.0,606.0
Έ,904.0,607.0
Ή,905.0,608.0
Ί,906.0,609.0
΋,907.0,610.0
Ό,908.0,611.0
΍,909.0,612.0
Ύ,910.0,613.0
Ώ,911.0,614.0
Α,913.0,615.0
Β,914.0,616.0
Γ,915.0,617.0
Δ,916.0,618.0
Ε,917.0,619.0
Ζ,918.0,620.0
Η,919.0,621.0
Θ,920.0,622.0
Κ,922.0,623.0
Λ,923.0,624.0
µ,181.0,625.0
Ν,925.0,626.0
Ξ,926.0,627.0
Ο,927.0,628.0
Π,928.0,629.0
Ρ,929.0,630.0
΢,930.0,631.0
Σ,931.0,632.0
Τ,932.0,633.0
Υ,933.0,634.0
Φ,934.0,635.0
Χ,935.0,636.0
Ψ,936.0,637.0
Ω,937.0,638.0
Ϊ,938.0,639.0
ΐ,912.0,640.0
Ϋ,939.0,641.0
ΰ,944.0,642.0
Ϗ,975.0,643.0
Ϙ,984.0,644.0
Ϛ,986.0,645.0
Ϝ,988.0,646.0
Ϟ,990.0,647.0
Ϡ,992.0,648.0
Ϣ,994.0,649.0
Ϥ,996.0,650.0
Ϧ,998.0,651.0
Ϩ,1000.0,652.0
Ϫ,1002.0,653.0
Ϭ,1004.0,654.0
Ϯ,1006.0,655.0
϶,1014.0,656.0
Ϸ,1015.0,657.0
Ϻ,1018.0,658.0
ϼ,1020.0,659.0
Ѐ,1024.0,660.0
Ё,1025.0,661.0
Ђ,1026.0,662.0
Ѓ,1027.0,663.0
Є,1028.0,664.0
Ѕ,1029.0,665.0
І,1030.0,666.0
Ї,1031.0,667.0
Ј,1032.0,668.0
Љ,1033.0,669.0
Њ,1034.0,670.0
Ћ,1035.0,671.0
Ќ,1036.0,672.0
Ѝ,1037.0,673.0
Ў,1038.0,674.0
Џ,1039.0,675.0
А,1040.0,676.0
Б,1041.0,677.0
В,1042.0,678.0
Г,1043.0,679.0
Д,1044.0,680.0
Е,1045.0,681.0
Ж,1046.0,682.0
З,1047.0,683.0
И,1048.0,684.0
Й,1049.0,685.0
К,1050.0,686.0
Л,1051.0,687.0
М,1052.0,688.0
Н,1053.0,689.0
О,1054.0,690.0
П,1055.0,691.0
Р,1056.0,692.0
С,1057.0,693.0
Т,1058.0,694.0
У,1059.0,695.0
Ф,1060.0,696.0
Х,1061.0,697.0
Ц,1062.0,698.0
Ч,1063.0,699.0
Ш,1064.0,700.0
Щ,1065.0,701.0
Ы,1067.0,702.0
Э,1069.0,703.0
Ю,1070.0,704.0
Я,1071.0,705.0
Ѡ,1120.0,706.0
Ѣ,1122.0,707.0
Ѥ,1124.0,708.0
Ѧ,1126.0,709.0
Ѩ,1128.0,710.0
Ѫ,1130.0,711.0
Ѭ,1132.0,712.0
Ѯ,1134.0,713.0
Ѱ,1136.0,714.0
Ѳ,1138.0,715.0
Ѵ,1140.0,716.0
Ѷ,1142.0,717.0
Ѹ,1144.0,718.0
Ѻ,1146.0,719.0
Ѽ,1148.0,720.0
Ѿ,1150.0,721.0
Ҁ,1152.0,722.0
҂,1154.0,723.0
҈,1160.0,729.0
҉,1161.0,730.0
Ҋ,1162.0,731.0
Ҍ,1164.0,732.0
Ҏ,1166.0,733.0
Ґ,1168.0,734.0
Ғ,1170.0,735.0
Ҕ,1172.0,736.0
Җ,1174.0,737.0
Ҙ,1176.0,738.0
Қ,1178.0,739.0
Ҝ,1180.0,740.0
Ҟ,1182.0,741.0
Ҡ,1184.0,742.0
Ң,1186.0,743.0
Ҥ,1188.0,744.0
Ҧ,1190.0,745.0
Ҩ,1192.0,746.0
Ҫ,1194.0,747.0
Ҭ,1196.0,748.0
Ү,1198.0,749.0
